ID,Category,Severity,Status,Title,Location,Description,Recommended Fix,Priority Order,
SEC-01,Payments & Checkout,Critical,Open,Stripe amount taken from client input,CheckoutController.php:226 / checkout.blade.php:185,Charge uses $request->price from a hidden form field instead of server cart total. Customer can pay any amount via DevTools.,Always charge $cartTotal * 100 computed server-side from session cart; never trust $request->price.,1,
SEC-02,Payments & Checkout,Critical,Open,stripePost() never calls Stripe — fake payment success,CheckoutController.php:394-426,Hardcodes transaction_id and marks order paid with no Stripe API call. Any authenticated user can mark orders paid for free.,Verify charge/PaymentIntent via Stripe API or webhook before marking paid; remove legacy payment.blade.php flow.,1,
SEC-03,Payments & Checkout,Critical,Open,Cart option price trusted from client,CartController.php:56-67,addToCart builds adjustedPrice from client-sent option price/prefix instead of DB ProductOptionValue.,Re-fetch each option price from DB by ID server-side.,1,
SEC-04,Payments & Checkout,Critical,Open,Raw card PAN/CVV/expiry POSTed to app server,payment.blade.php:116-146,JS .empty() clears DOM children not input values — raw card data reaches Laravel logs (PCI-DSS risk).,Remove legacy Stripe.js v2 flow or null .val() and use Stripe Elements only.,1,
SEC-05,Payments & Checkout,High,Open,Product stock check has no row lock (overselling),CheckoutController.php:194-200,Primary total_stock check-then-decrement lacks lockForUpdate(); concurrent checkouts can oversell.,Wrap read+decrement in DB transaction with lockForUpdate().,1,
SEC-06,Payments & Checkout,Critical,Open,Order thank-you page IDOR,CheckoutController.php:284,thankYou(Order $order) has no ownership check — any user can view another customer's order.,abort_unless($order->user_id === auth()->id() 403).,1,
SEC-07,Payments & Checkout,High,Open,Hardcoded product ID in custom-sign builder,customize-product.blade.php:178,Add to Cart uses data-product-id=94 hardcoded; all customizations attach to product 94.,Pass real product to view and bind its ID.,2,
SEC-08,Payments & Checkout,Medium,Open,Dead Flutterwave form posts to third-party demo URL,payment.blade.php:153-182,Hidden form POSTs to geniusdevs.com CodeCanyon demo endpoint with fake token.,Delete leftover template markup.,3,
SEC-09,Payments & Checkout,High,Open,Two disconnected cart/checkout systems,CheckoutController / HomeController / CartController,Session cart vs DB Cart; multiple checkout paths with different trust assumptions.,Pick one cart/checkout implementation; delete the other.,2,
SEC-10,Cross-tenant IDOR,Critical,Open,Client ProductController unscoped edit/update/delete,Client/ProductController.php,edit/update/delete/update_status missing client_id scope — tenant can modify another store's products.,Scope all lookups with where client_id auth guard client id.,1,
SEC-11,Cross-tenant IDOR,Critical,Open,Client change_payment_status unscoped,Client/ManageController.php:65,Any client can flip another tenant's transaction paid/unpaid.,Scope by client_id.,1,
SEC-12,Cross-tenant IDOR,Critical,Open,Client transactions_delete unscoped + wrong column,Client/ManageController.php:132-137,Unscoped delete; Order::whereOrderId uses wrong column.,Scope and query Transaction correctly.,1,
SEC-13,Cross-tenant IDOR,High,Open,Client OptionController wrong guard / unscoped option values,Client/OptionController.php,edit/update use auth()->id() instead of client guard; option_value_* have no ownership check.,Use client guard and scope all mutations.,2,
SEC-14,Cross-tenant IDOR,High,Open,Client Faq/Brand/Category/FaqCategory IDOR,Multiple Client controllers,edit/update/delete/update_status missing client_id scope.,Add client_id scope to every mutation lookup.,2,
SEC-15,Cross-tenant IDOR,Medium,Open,Client BlogController update unscoped,Client/BlogController.php:98,update() unscoped while edit/delete are scoped.,Scope update() the same way.,3,
SEC-16,Cross-tenant IDOR,Medium,Open,Client SubscribeController destroy never deletes,Client/SubscribeController.php:18-25,Looks up row but never calls delete() — false success message.,Call ->delete() after ownership check.,3,
SEC-17,User IDOR,High,Open,CompareController remove is no-op / no ownership,User/CompareController.php:17,findOrFail without delete or ownership check.,Delete after verifying user_id.,2,
SEC-18,User IDOR,High,Open,WishList remove without ownership,User/WishListController.php:69,Deletes wishlist by raw ID — any user can delete others' entries.,Scope by auth()->id() before delete.,2,
SEC-19,Password & Auth,Critical,Open,Profile update silently resets password to empty hash,User/Auth/ProfileController.php:45,Hash::make($request->password) ?? never falls back — empty password hashed on every save.,Only update password when $request->filled('password').,1,
SEC-20,Password & Auth,Critical,Open,Admin CustomerController wipes password on every edit,Admin/CustomerController.php:26,Unconditional password hash on customer edit.,Only hash when password field is filled.,1,
SEC-21,Password & Auth,Critical,Open,Client profile password wipe pattern,Client/ClientController.php:97,Same Hash::make ?? anti-pattern.,Only update when password filled.,1,
SEC-22,Password & Auth,High,Open,User profile unique validation excludes self,User/Auth/ProfileController.php:29-30,email/phone unique:users without ignore current user — unchanged profile fails.,Use Rule::unique()->ignore(auth()->id()).,2,
SEC-23,Password & Auth,High,Open,Billing/shipping address null crash,User/Auth/ProfileController.php:64-95,Assumes address row exists — fatal on first save.,Use updateOrCreate or null-check.,2,
SEC-24,Password & Auth,Medium,Open,Password reset token never expires,User/Auth/LoginController.php:118,Token existence checked but not expiry.,Enforce token expiry window.,3,
SEC-25,Password & Auth,Medium,Open,Open redirect on register,User/Auth/RegisterController.php:57,redirect_to query param with no local-URL check.,Whitelist local paths only.,3,
SEC-26,Password & Auth,Medium,Open,Admin phone uniqueness checks users table,Admin/Auth/LoginController.php:56,Phone uniqueness against users instead of admins.,Validate against admins table.,3,
SEC-27,Password & Auth,Medium,Open,Client phone uniqueness checks users table,Client/ClientController.php:68,Phone uniqueness against users instead of clients.,Validate against clients table.,3,
SEC-28,XSS,High,Open,Stored XSS in blog description,user/blog-details.blade.php:24,Unescaped {!! $blog->description !!}; Client/Admin save without sanitization.,Sanitize with HTML purifier on save; prefer escaped output where possible.,2,
SEC-29,XSS,Medium,Open,Stored XSS in FAQ details,user/faq-category.blade.php:68,{!! $faq->details !!} unsanitized.,Purify on save.,3,
SEC-30,XSS,Low,Open,Unescaped category name in admin AJAX HTML,Admin/ChildCategoryController.php,Builds option HTML by concatenating category name.,Escape htmlspecialchars when building HTML.,4,
